adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,budget,revenue,runtime,expected_revenue,disappointment_index,roi,release_year,release_month
False,/hJ5R9d6QuH3tzr8L8neZZTuzNXm.jpg,"[878, 18, 53]",78,Blade Runner,en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",13.5448,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,1982-06-25,False,False,7.938,14954,28000000,41722424,118,70000000.0,0.5960346285714285,0.4900865714285714,1982,6
False,/jniabJVBSW3EqLlyhjxWCZjVkiE.jpg,"[12, 28, 878]",1895,Star Wars: Episode III - Revenge of the Sith,en,Star Wars: Episode III - Revenge of the Sith,"When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker must choose a side.",13.5441,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,2005-05-17,False,False,7.465,14909,113000000,850000000,140,282500000.0,3.0088495575221237,6.522123893805309,2005,5
False,/fiRDzpcJe7qz3yIR43hdXIE3NHv.jpg,"[53, 9648, 35]",812583,Wake Up Dead Man: A Knives Out Mystery,en,Wake Up Dead Man: A Knives Out Mystery,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",13.5368,/qCOGGi8JBVEZMc3DVby8rUivyXz.jpg,2025-11-26,False,False,7.205,2456,210000000,4000000,145,525000000.0,0.007619047619047619,-0.9809523809523809,2025,11
False,/mFCS5OuhPYT79KXu5jl7RqznPR1.jpg,[27],259693,The Conjuring 2,en,The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,13.5204,/zEqyD0SBt6HL7W9JQoWwtd5Do1T.jpg,2016-06-08,False,False,7.294,9151,40000000,322819915,134,100000000.0,3.22819915,7.070497875,2016,6
False,/ss0Os3uWJfQAENILHZUdX8Tt1OC.jpg,"[28, 12, 878]",545611,Everything Everywhere All at Once,en,Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",13.4796,/u68AjlvlutfEIcpmbYpKcdi09ut.jpg,2022-03-24,False,False,7.72,7920,25000000,139200000,140,62500000.0,2.2272,4.568,2022,3
False,/uy2trYgO8MOQfQXlvMaLhBnkUqg.jpg,"[18, 28, 53]",7485,Shooter,en,Shooter,"A top Marine sniper, Bob Lee Swagger, leaves the military after a mission goes horribly awry and disappears, living in seclusion. He is coaxed back into service after a high-profile government official convinces him to help thwart a plot to kill the President of the United States. Ultimately double-crossed and framed for the attempt, Swagger becomes the target of a nationwide manhunt. He goes on the run to track the real killer and find out who exactly set him up, and why, eventually seeking revenge against some of the most powerful and corrupt leaders in the free world.",13.4557,/2aWGxo1E5polpBjPvtBRkWp7qaS.jpg,2007-03-22,False,False,7.122,5435,61000000,95700000,124,152500000.0,0.6275409836065574,0.5688524590163935,2007,3
False,/qvyOfwTC3qdbzkqdXWSSEMHtjBZ.jpg,"[18, 35, 10749]",1064213,Anora,en,Anora,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",13.4546,/oN0o3owobFjePDc5vMdLRAd0jkd.jpg,2024-10-14,False,False,7.069,3137,6000000,56286295,139,15000000.0,3.7524196666666665,8.381049166666667,2024,10
False,/9FrpAtF87VKblKkDEiIZzYgO40K.jpg,"[28, 35, 80]",2109,Rush Hour,en,Rush Hour,"When Hong Kong Inspector Lee is summoned to Los Angeles to investigate a kidnapping, the FBI doesn't want any outside help and assigns cocky LAPD Detective James Carter to distract Lee from the case. Not content to watch the action from the sidelines, Lee and Carter form an unlikely partnership and investigate the case themselves.",13.4461,/we7wOLVFgxhzLzUt0qNe50xdIQZ.jpg,1998-09-18,False,False,7.069,5637,33000000,244721064,97,82500000.0,2.9663159272727273,6.4157898181818185,1998,9
False,/59vDC1BuEQvti24OMr0ZvtAK6R1.jpg,"[14, 12, 16, 10751]",10191,How to Train Your Dragon,en,How to Train Your Dragon,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",13.4428,/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,2010-03-18,False,False,7.859,14342,165000000,495141736,98,412500000.0,1.2003436024242424,2.000859006060606,2010,3
False,/7bWxAsNPv9CXHOhZbJVlj2KxgfP.jpg,"[27, 53]",713704,Evil Dead Rise,en,Evil Dead Rise,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",13.44,/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg,2023-04-12,False,False,6.921,3654,15000000,147256372,96,37500000.0,3.9268365866666666,8.817091466666668,2023,4
False,/2dlt9I2ga6hweywz9zsFUz1PVii.jpg,"[878, 53, 27]",604079,The Long Walk,en,The Long Walk,"In a dystopian 1970s America, fifty teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",13.4237,/wobVTa99eW0ht6c1rNNzLkazPtR.jpg,2025-09-10,False,False,6.924,1482,20000000,63103084,108,50000000.0,1.26206168,2.1551542,2025,9
False,/7JhsJxNmdW0y4IyNrHy10cECrAz.jpg,[35],109418,Grown Ups 2,en,Grown Ups 2,"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",13.398,/hT6ijOtjtYrnyDhN7VA2QWyGFAm.jpg,2013-07-11,False,False,6.153,4660,80000000,247022278,101,200000000.0,1.23511139,2.087778475,2013,7
False,/vh7np635kDIcfO6x2Y9ElgLJsuI.jpg,"[80, 27, 9648]",4232,Scream,en,Scream,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",13.3802,/lr9ZIrmuwVmZhpZuTCW8D9g0ZJe.jpg,1996-12-20,False,False,7.429,7924,14000000,173046663,112,35000000.0,4.944190371428571,11.360475928571429,1996,12
False,/8AAuJtCzaibYkbE0QVHc8EBsELB.jpg,"[14, 28, 12, 16, 10751]",82702,How to Train Your Dragon 2,en,How to Train Your Dragon 2,"Five years after uniting the dragons and Vikings of Berk, Hiccup and Toothless soar beyond their homeland, charting the vast unknown. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider with a startling connection to Hiccup. And as the ruthless dragon conqueror Drago Bludvist rises to seize control of both dragons and people alike, Hiccup must step into his role as a true leader and, alongside his friends and Toothless, protect Berk from a devastating war.",13.3657,/d13Uj86LdbDLrfDoHR5aDOFYyJC.jpg,2014-06-05,False,False,7.681,10417,145000000,621537519,102,362500000.0,1.714586259310345,3.286465648275862,2014,6
